Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Mitchell Auto Parts,4288 Route 96 South,,Waterloo,NY,13165,Seneca,8,3155852200,Walter A. Mitchell,Private,VDF - large - registration,[50V50007],Yes,348930,4742023,,End of Life Vehicles,50V50007,10/15/2019,10/15/2024,
New Castle Asphalt LLC,268 American Oil Road,,East Greenbush,NY,12061,Rensselaer,4,,New Castle Asphalt LLC,Private,C&D processing - registration,[42W07],Yes,602257,4717517,1 - No accuracy stated,Asphalt,42W07,08/18/2017,,
Newcomb Transfer Station,Hudson River Road,,Newcomb,NY,12852,Essex,5,5185823211,Essex County,County,RHRF - registration,[16R28],Yes,569531,4868023,,,16R28,,,
North Hudson Transfer Station,Route 9,,North Hudson,NY,12855,Essex,5,5185327217,Essex County,County,Transfer station - registration,[16R43],Yes,602033,4867685,,MSW (Residential/Institutional & Commercial),16R43,,,
Repurposed Organics LLC; Macs Farm,Mac's Farm,Munson Road,Westfield,NY,14787,Chautauqua,9,7162344026,Repurposed Organics,Private,Land application - UFPW - registration,[07A30006],Yes,129787,4701036,,Non-recognizable Food Processing Waste,07A30006,07/16/2018,07/16/2023,
Sarik Auto Center Inc,1305 36th Street,,Brooklyn,NY,11218,Kings,2,7184373294,Sam Kofman,Private,Vehicle Dismantling Facility,[7075407],Yes,585916,4499501,,,,,,"1305 36th Street
Brooklyn, NY 11218
(40.642155, -73.984418)"
Schodack (T) Haight Pit Mine,Route 150 (NE of intersect w/ Rte 20),25 Town Hall Way,Schodack,NY,12033,Rensselaer,4,,Town of Schodack,Municipal,C&D processing - registration,[42W10],Yes,605788,4711737,4.1 - Address Matching,Concrete;Asphalt,42W10,03/03/2017,,
Seven-X Motors Inc,954 St. Route 17B,,Bethel,NY,12762,Sullivan,3,8455835110,Ercole Alleva,Private,VDF - large - registration,[53V50003],Yes,518079,4612936,,End of Life Vehicles,53V50003,03/05/2019,03/04/2024,
Sunshine Auto,500 Mabie Lane,,Rotterdam,NY,12306,Schenectady,4,5188872330,Richard Tauzel,Private,VDF - large - registration,[47V52801],Yes,578783,4745915,,End of Life Vehicles,47V52801,06/24/2019,06/24/2024,"500 Mabie Lane
Rotterdam, NY 12306
(42.861767, -74.035799)"
T&D Associates,Notre Dame Drive,,Oceanside,NY,11572,Nassau,1,5168894714,T&D Associates Ltd,Private,C&D processing - registration,[30W31R],Yes,613974,4498550,,Soil (Clean);Concrete;Asphalt;Wood (Clean);Rock;Brick;Construction & Demolition Debris,30W31R,05/07/2004,,
Tamarack Compost,5898 State Route 40,,Argyle,NY,12809,Washington,5,5188121940,Daniel Sill,,Composting - SSO - registration,[58P20016],Yes,445795,1848134,,Food Scraps,58P20016,03/09/2022,03/08/2027,"5898 State Route 40
Argyle, NY 12809
(43.295071, -73.453597)"
Ticonderoga Transfer Station,Burn Baughn Road,,Ticonderoga,NY,12883,Essex,5,5185856265,Essex County,County,RHRF - registration,[16R41],Yes,624731,4862923,,,16R41,02/09/1994,,
Tonawanda Bioremediation Facility,795 East Park Drive,,Tonawanda,NY,14150,Erie,9,7162853920,,,Nonspecific facility - permit,[15XP0092],Yes,671839,4762817,,,9-1464-00294/00001,08/04/2015,03/22/2021,"795 East Park Drive
Tonawanda, NY 14150
(42.995688, -78.898168)"
Tyndall Septic Systems Inc,15 Independent Way,,Brewster,NY,10509,Putnam,3,8452798809,E. Patrick Tyndall,Private,Transfer station - permit,[40T07],Yes,614815,4585831,,Septage;Sewage Treatment Plant Sludge,3-3373-00215/00003,11/30/2018,11/29/2023,"15 Independent Way
Brewster, NY 10509
(41.415879, -73.625547)"
Route 7 Used Auto Parts,3467 State Route 7,,Hoosick Falls,NY,12090,Rensselaer,4,5188575115,Robert D West Sr.,Private,Vehicle Dismantling Facility,[7028939],Yes,626994,4745057,,,,,,"3467 State Route 7
Hoosick Falls, NY 12090
(42.847113, -73.445837)"
Cuba Auto Sales,9807 Route 446,,Cuba,NY,14727,Allegany,9,5859681207,Stewart Freeman,Private,VDF - large - registration,[02V50011],Yes,227995,4679113,1 - No accuracy stated,End of Life Vehicles;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,02V50011,11/02/2018,11/02/2023,"9807 Route 446
Cuba, NY 14727
(42.217259, -78.295867)"
Frontier Fibers/ International Waste Removal Inc,4870 Packard Road,,Niagara Falls,NY,14304-1510,Niagara,9,7162782000,International Waste Removal Inc,,Other,[32Z05],Yes,174204,4779654,4.2 - Utilization of GIS and existing spatial data,,9-2911-00035/00019,10/27/2017,10/26/2022,"4870 Packard Road
Niagara Falls, NY 14304-1510
(43.097859, -79.004172)"
Sal's Metal Corp.,900 Edgewater Road,,Bronx,NY,10474,Bronx,2,7183284921,Sal's Metal Corp.,Private,Scrap metal processor - registration,[03V30002],Yes,594097,4519490,4.2 - Utilization of GIS and existing spatial data,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous ;Lead-acid Batteries,03V30002,10/01/2019,09/30/2024,"900 Edgewater Road
Bronx, NY 10474
(40.821, -73.884435)"
Kinsella Quarry,8086 East Genesee Street,,Fayetteville,NY,13066,Onondaga,7,3156373390,T.H. Kinsella; Inc.,Private,CDDHRF - asphalt pavement and millings - registration,[34C20034],Yes,421280,4765461,1 - No accuracy stated,Asphalt,34C20034,06/05/2018,06/04/2023,"8086 East Genesee Street
Fayetteville, NY 13066
(43.039083, -75.966355)"
New Style Recycling Corp,49-10 Grand Avenue,,Maspeth,NY,11378,Queens,2,7183264175,Antoinette Cristina,Private,Transfer station - permit,[41CD0053],Yes,591300,4507948,,MSW (Residential/Institutional & Commercial),2-6304-00021/00003,03/10/2017,03/09/2022,"49-10 Grand Avenue
Maspeth, NY 11378
(40.717512, -73.918967)"
Haines Falls Auto Service & Sales Inc,5183 Route 23A,,Haines Falls,NY,12436,Greene,4,5185896181,Rory France,Private,Vehicle Dismantling Facility,[7025237],Yes,574705,4671880,,,,,,"5183 Route 23A
Haines Falls, NY 12436
(42.195112, -74.094647)"
WMNY Varick 1 Transfer Station,215 Varick Avenue,,Brooklyn,NY,11237,Kings,2,7185335266,Waste Management of NY; LLC,Private,Transfer station - permit,[24T66],Yes,590448,4507405,4.2 - Utilization of GIS and existing spatial data,Yard Waste;MSW (Residential/Institutional & Commercial),2-6104-00010/00002,10/30/2018,10/21/2019,"215 Varick Avenue
Brooklyn, NY 11237
(40.713076, -73.92942)"
USDHS.- PIADC Bldg 102 Mobile Autoclave,Building 102,Wastewater Effluent Decontamination Syetem,Greenport,NY,11944,Suffolk,1,6313233007,US Department of Homeland Security,Federal,RMW - permit,[52JP0307],Yes,735302,4561644,4.3 - Utilization of Digital Orthophoto Quads,,1-4738-00028/00035,12/31/2020,12/30/2025,
Mohawk Valley Materials Inc,6805 Martin Street,,Rome,NY,13442,Oneida,6,3152714651,Joseph Rutkowski,Private,C&D processing - registration,[33W08],Yes,464387,4782756,1 - No accuracy stated,,,,,"6805 Martin Street
Rome, NY 13442
(43.195455, -75.439114)"
Marks Disposal Service,1970 William Street,,Buffalo,NY,14206,Erie,9,7168961616,Martin T. Marks,Private,VDF - large - registration,[15V50022],Yes,189887,4755064,1 - No accuracy stated,End of Life Vehicles,15V50022,12/18/2018,12/18/2023,"1970 William Street
Buffalo, NY 14206
(42.884524, -78.796791)"
Tate Street Realty LLC,442 Tate Street,,Holbrook,NY,11741,Suffolk,1,6315805800,Get Rid of It By Recycling Inc,Private,Transfer facility - permit,[52T04],Yes,662494,4516156,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),1-4728-00943/00004,04/17/2019,01/21/2023,"442 Tate Street
Holbrook, NY 11741
(40.780506, -73.074266)"
Erin Van Etten Drop-off,1892 Swartwood Road,,Erin,NY,14838,Chemung,8,8002273552,Chemung County,County,Transfer facility - registration,[08T10013],Yes,364678,4674411,,MSW (Residential/Institutional & Commercial),08T10013,03/27/2020,03/26/2025,"1892 Swartwood Road
Erin, NY 14838
(42.207519, -76.645978)"
Patchogue Municipal Garage (Incorporated Village of),216 Waverly Ave.,,Patchogue,NY,11772,Suffolk,1,6314754300,Village of Patchogue,Municipal,Transfer station - registration,[52R27R],Yes,666433,4515346,4.3 - Utilization of Digital Orthophoto Quads,White Goods;Construction & Demolition Debris;Leaves & Grass;Wood (Brush/ Branches/ Trees/ Stumps);Concrete;Yard Waste;Electronics;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics,52R27R,10/11/2006,,"216 Waverly Ave.
Patchogue, NY 11772
(40.772273, -73.027788)"
North Shore Terminal,2537 Richmond Terrace,,Staten Island,NY,10303,Richmond,2,7185560800,North Shore Terminal; Staten Island LLC,,CDDHRF - concrete rock brick - registration,[43C10006],Yes,572313,4498927,4.2 - Utilization of GIS and existing spatial data,Concrete;Brick;Rock,43C10006,07/09/2021,07/08/2026,"2537 Richmond Terrace
Staten Island, NY 10303
(40.637839, -74.145386)"
Repurposed Organics- R & R Windy Ridge,Woleben Rd,,Portland,NY,14769,Chautauqua,9,,Repurposed Organics LLC,Private,Land application - UFPW - registration,[07A30014],Yes,130289,4697143,4.2.1 - Utilization of GIS and Facility Mapping System,Non-recognizable Food Processing Waste,07A30014,07/17/2018,07/17/2023,
Lewis Transfer Station - Elizabethtown,8181 Route 9,,Lewis,NY,12950,Essex,5,5188736650,Essex County,Municipal,RHRF - registration,[16R38],Yes,614062,4900800,,,16R38,,,"8181 Route 9
Lewis, NY 12950
(44.252886, -73.568999)"
Crooker Trucking; LLC,8452 Lake Street Road,,LeRoy,NY,14482,Genesee,8,9146496664,Ed Crooker,Private,Composting - SSO - registration,[19P20013],Yes,0,0,1 - No accuracy stated,Source Separated Organic Waste (SSOW),19P20013,07/02/2021,07/02/2026,"8452 Lake Street Road
LeRoy, NY 14482
(43.002479, -77.983132)"
Union Transfer LLC,1700 Union Road,,West Seneca,NY,14224,Erie,9,7164459473,Casella Waste Management of N.Y.; Inc.,Private,RHRF - greater than 5 tpd - registration,[15R20018],Yes,193021,4750616,4.2 - Utilization of GIS and existing spatial data,Plastic;Container Glass;Commingled Containers;Paperboard/Boxboard;Newspaper;Commingled Paper;Commingled Recyclables;Source Separated Recyclables (Metal/Glass/Paper/Plastic),15R20018,07/16/2021,07/16/2026,"1700 Union Road
West Seneca, NY 14224
(42.845994, -78.754395)"
Groff Land Clearing Debris Landfill,82 Brook Road,,Saratoga Springs,NY,12866,Saratoga,5,5185840586,Howard H. Jr & Cynthia P. Groff,Private,Landfill - land clearing debris,[46D06],Yes,595327,4770849,,Land Clearing Debris,46D06,05/09/1995,,"82 Brook Road
Saratoga Springs, NY 12866
(43.084924, -73.828561)"
LVM Materials LLC,3200 Route 39,,Bliss,NY,14024,Wyoming,9,5853228878,Lee Maher,Private,RHRF - greater than 5 tpd - registration,[61R20001],Yes,231800,4717755,4.2 - Utilization of GIS and existing spatial data,Wood (Adulterated);Wood (Unadulterated Pallets);Wood (Unadulterated);Wood (Chips),61R20001,10/16/2019,07/24/2023,"3200 Route 39
Bliss, NY 14024
(42.567307, -78.269291)"
Burdick Land Clearing Debris Landfill,Route 28,,Forestport,NY,13338,Oneida,6,3157963690,Chad Burdick,Private,Landfill - land clearing debris,[33D24],Yes,484799,4812530,1 - No accuracy stated,,33D24,,,
Westbury Recycling Inc,117  Magnolia Avenue,,Westbury,NY,11590,Nassau,1,5167439199,Westbury Recycling Inc,Private,C&D processing - permit,[30W34],Yes,620867,4512810,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Paper/Cardboard;Plastics,1-2822-01362/00001,11/01/2015,10/31/2020,"117  Magnolia Avenue
Westbury, NY 11590
(40.757536, -73.567834)"
Langevin Excavation,Twin Lakes Road,,Oswegatchie,NY,13670,St. Lawrence,6,3158483358,Bruce Langevin Jr.,Private,Land application - septage - registration,[45A40028],Yes,496052,4893042,4.1 - Address Matching,Septage,45A40028,11/20/2019,11/19/2024,
A-Plus Auto Salvage Inc dba A-PLUS II Auto Salvage,548 West Hoffman Ave.,,Lindenhurst,NY,11757,Suffolk,1,6312260404,A-Plus Auto Salvage Inc d/b/a,Private,VDF - large - registration,[52V50295],Yes,636449,4504931,,End of Life Vehicles,52V50295,01/22/2020,01/21/2025,"548 West Hoffman Ave.
Lindenhurst, NY 11757
(40.683649, -73.385205)"
Orangetown Bulk Waste TS,119 Route 303,,Orangeburg,NY,10962,Rockland,3,,Town of Orangetown,Municipal,Transfer facility - registration,[44T10001],Yes,588750,4543389,,MSW (Residential/Institutional & Commercial);Corrugated Cardboard;Wood (Brush/ Branches/ Trees/ Stumps);Metals (Ferrous & Non-Ferrous);Source Separated Organic Waste,44T10001,11/04/2021,01/13/2023,"119 Route 303
Orangeburg, NY 10962
(41.038078, -73.946152)"
Irvington (V) Leaf TS,170 Mountain Road,,Irvington,NY,10533,Westchester,3,9145916044,Village of Irvington,Municipal,Transfer facility - registration,[60T10009],Yes,596966,4544069,,Yard Waste;Wood (Brush/ Branches/ Trees/ Stumps),60T10009,01/23/2019,01/22/2024,"170 Mountain Road
Irvington, NY 10533
(41.04286, -73.846899)"
Icahn School of Medicine at Mount Sinai,1 Gustave L. Levy Place,,New York,NY,10029,New York,2,2122416500,Icahn School of Medicine at Mount Sinai,Private,RMW - treatment at the site of generation - registration,[31J20002],Yes,588300,4516016,4.2 - Utilization of GIS and existing spatial data,Regulated Medical Waste,31J20002,12/20/2021,12/20/2026,"1 Gustave L. Levy Place
New York, NY 10029
(40.790361, -73.953632)"
Slate Valley Automotive LLC,7311 State Route 22,,Granville,NY,12832,Washington,5,5186423167,William Bishop,Private,Motor vehicle repair shop - small - registration,[58V10001],Yes,640240,4796886,,,58V10001,08/15/2018,08/14/2023,"7311 State Route 22
Granville, NY 12832
(43.310653, -73.270669)"
Smithtown Municipal Services Facility,85 Old Northport Rd,,Kings Park,NY,11754,Suffolk,1,6312696600,Town of Smithtown,Municipal,RHRF - permit,[52RP0256],Yes,646582,4527422,4.3 - Utilization of Digital Orthophoto Quads,Metals (Aluminum);Metals (Ferrous);Metals (Non-Ferrous);Plastics;Source Separated Recyclables (Metal/Glass/Paper/Plastic);White Goods;Waste Oil (Automotive);Newspaper;Commingled Paper;Electronics;Paper / Cardboard,1-4734-01810/0002,09/23/2020,09/22/2025,"85 Old Northport Rd
Kings Park, NY 11754
(40.873531, -73.274069)"
Eastchester Leaf Transfer Station,40 Mill Road,,Eastchester,NY,10709,Westchester,3,,Town of Eastchester,Municipal,Transfer facility - registration,[60T10014],Yes,599500,4534000,,Yard Waste,60T10014,09/18/2019,09/17/2024,"40 Mill Road
Eastchester, NY 10709
(40.956302, -73.811129)"
Spafford Transfer Station & Recycling Center,Stanton Road,,Skaneateles,NY,13152,Onondaga,7,3156734144,Town of Spafford,Municipal,Transfer facility - registration,[34T10062],Yes,394486,4743676,,MSW (Residential/Institutional & Commercial),34T10062,05/15/2018,05/14/2023,
Allocco Recycling (606 Meserole),606 Meserole Street,,Brooklyn,NY,11237,Kings,2,7183493094,Michael ALLOCCO,Private,RHRF - registration,[24MH2],Yes,590900,4507350,1 - No accuracy stated,,,,,"606 Meserole Street
Brooklyn, NY 11237
(40.711675, -73.923835)"
Southport Drop-off Center,93 Institution Road,,Pine City,NY,14871,Chemung,8,8002273552,Chemung County,County,Transfer facility - registration,[08R10014],Yes,350075,4657176,4.1 - Address Matching,MSW (Residential/Institutional & Commercial),08R10014,03/27/2020,03/26/2025,
Richford TS  (T),10 Town Barn Road,,Richford,NY,13835,Tioga,7,,Town of Richford,Municipal,Transfer facility - registration,[54T10009],Yes,401313,4690028,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Bulk Metal,54T10009,02/21/2019,02/21/2024,
RNV Green Processing & Supply Corp,1 Lane Gate Road,,Cold Spring,NY,10516,Putnam,3,8452654161,Ricky Ventura,Private,C&D processing - registration,[40W06],Yes,590488,4587121,1 - No accuracy stated,,40W06,11/29/2011,,"1 Lane Gate Road
Cold Spring, NY 10516
(41.429958, -73.917734)"
Long Island Electric Utility Servco LLC,175 East Old Country Road,,Hicksville,NY,11801,Nassau,1,5163916133,National Grid,Private,C&D processing - registration,[30W27R],Yes,625600,4513600,4.3 - Utilization of Digital Orthophoto Quads,Non-petroleum Contaminated Soil,30W27R,04/19/2010,,"175 East Old Country Road
Hicksville, NY 11801
(40.766218, -73.512404)"
R. J. Zigmont Excavation & Septic Service,42 West Chenango Rd,,Castle Creek,NY,13744,Broome,7,6077245233,Joseph Zigmont,Private,Storage - septage - registration,[04A50027],Yes,424795,4670370,4.1 - Address Matching,Septage,04A50027,08/29/2018,08/30/2023,"42 West Chenango Rd
Castle Creek, NY 13744
(42.180625, -75.911312)"
Murphy Rolloff Inc,119 Wade Road,,Latham,NY,12110,Albany,4,5186084358,Michael Evereth,Private,Transfer station - permit,[01T17],Yes,599287,4733451,,Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous),4-0126-00631/00001,11/10/2011,11/09/2021,"119 Wade Road
Latham, NY 12110
(42.746708, -73.786533)"
Wilbert's Inc Webster,1272 Salt Road,,Webster,NY,14580,Monroe,8,5858721540,Ronald Wilbert,Private,VDF - large - registration,[28V51001],Yes,304748,4784526,,,28V51001,05/14/2018,05/13/2023,"1272 Salt Road
Webster, NY 14580
(43.18826, -77.400376)"
Reeves/Norco LCD Landfill,Reeves Lane,,Plattsburgh,NY,12901,Clinton,5,5185367519,City of Plattsburgh,Municipal,Landfill - land clearing debris,[10D14],Yes,620022,4948645,1 - No accuracy stated,Land Clearing Debris,10D14,04/02/2002,,
NYSDOH - Griffin Laboratory,Wadsworth Center; NYS Department of Health,5668 State Farm Road,Slingerlands,NY,12159,Albany,4,5184856770,NYS Department of Health,State,Regulated medical waste - onsite treatment,[01Q03],Yes,589501,4725464,,,4-0130-00034/02001,04/03/2019,04/02/2029,
Price Scrap & Salvage,NYS Rte. 8,,West Edmeston,NY,13485,Madison,7,3158554452,Thomas R. Price,Private,VDF - large - registration,[27V50018],Yes,476998,4734835,,End of Life Vehicles,27V50018,06/18/2019,06/17/2024,
Shelter Island Recycling Transfer Station,34 N Menantic Road,,Shelter Island,NY,11964-1000,Suffolk,1,6317491090,Town of Shelter Island,Municipal,Composting - yard trimmings - registration,[52P10282],Yes,722194,4550401,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste;Manure,52-0282,11/18/2021,11/17/2023,"34 N Menantic Road
Shelter Island, NY 11964-1000
(41.066907, -72.352086)"
Chemung County Transfer Station,1690 Lake Street,,Elmira,NY,14901,Chemung,8,6077372980,Chemung County,County,Transfer facility - permit,[08T05],Yes,350746,4664333,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);White Goods;Waste Tires,8-0730-00009/00001,10/28/2017,10/27/2027,"1690 Lake Street
Elmira, NY 14901
(42.118363, -76.808679)"
Middlesex Highway - TS,1240 Mill Street,,Middlesex,NY,14507,Yates,8,5855543188,Town of Middlesex Highway,Municipal,Transfer facility - registration,[62T10004],Yes,313661,4730422,1 - No accuracy stated,MSW (Residential/Institutional & Commercial),62T10004,05/02/2018,05/01/2023,"1240 Mill Street
Middlesex, NY 14507
(42.702976, -77.275657)"
Henry's Service Center,4414 Arthur Kill Road,,Staten Island,NY,10309,Richmond,2,7189482725,Enrico Ariena,Private,Vehicle Dismantling Facility,[7022688],Yes,564718,4487384,,,,,,"4414 Arthur Kill Road
Staten Island, NY 10309
(40.53457, -74.236007)"
Brooklyn C&D LLC,548 Varick Avenue,,Brooklyn,NY,11222,Kings,2,7183497555,Brooklyn C&D LLC,Private,C&D processing - permit,[24W36],Yes,589990,4508820,2.1 - NYSDEC 100 m grid collection,Construction & Demolition Debris;Metal (Structural);Concrete,2-6101-00065/00005,09/07/2021,06/26/2022,"548 Varick Avenue
Brooklyn, NY 11222
(40.725464, -73.934937)"
Northern Erie Supply,9220 County Road,,Clarence,NY,14032,Erie,9,,Northern Erie Supply,Private,Mulch processing - registration,[15M10094],Yes,202848,4770931,4 - GIS Assisted,Wood (Brush/ Branches/ Trees/ Stumps),15M10094,06/30/2021,06/30/2026,"9220 County Road
Clarence, NY 14032
(43.032185, -78.646465)"
Summer Hill Auto Salvage,956 Salt Road,,Groton,NY,13073,Tompkins,7,6078985292,Floyd Kyes,Private,VDF - small - registration,[55V20009],Yes,391317,4719321,1 - No accuracy stated,End of Life Vehicles,55V20009,02/28/2019,02/28/2024,"956 Salt Road
Groton, NY 13073
(42.618617, -76.325042)"
Jefferson County Transfer Station,27138 NYS Rt 12,,Watertown,NY,13601,Jefferson,6,3157859072,Jefferson County,County,RHRF - permit,[23RP0031],Yes,423868,4878664,4.1 - Address Matching,Commingled Containers;Commingled Paper;Other Aluminum Scrap Metal;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Plastic;Electronics;Paperboard/Boxboard;Enameled Appliances / White Goods,6-2248-00013/00004,11/02/2017,11/01/2022,
